exitProb,Name,Mean,lowConfInt,upConfInt
9,LifeTimeTot,3102.576,2909.703,3295.448
9,LifeTimeU1,3102.576,2909.703,3295.448
9,LifeTimeU2,,,
8,LifeTimeTot,336.861,251.424,422.297
8,LifeTimeU1,19.383,18.983,19.783
8,LifeTimeU2,823.62,603.739,1043.5
5,LifeTimeTot,4.047,3.997,4.097
5,LifeTimeU1,3.745,3.698,3.791
5,LifeTimeU2,4.504,4.419,4.588
2,LifeTimeTot,1.763,1.748,1.777
2,LifeTimeU1,1.71,1.694,1.726
2,LifeTimeU2,1.842,1.818,1.867
