exitProb,Name,Mean
9,TotalServiceTimeU2,0.0
9,TotalServiceTime,31895.437
9,TotalServiceTimeU1,31895.437
8,TotalServiceTimeU2,15276.785
8,TotalServiceTime,36678.74
8,TotalServiceTimeU1,21401.955
5,TotalServiceTimeU2,5054.616
5,TotalServiceTime,12249.322
5,TotalServiceTimeU1,7194.705
2,TotalServiceTimeU2,2480.252
2,TotalServiceTime,6099.61
2,TotalServiceTimeU1,3619.359
