exitProb,Name,Mean,lowConfInt,upConfInt
5,Treshold-2s,43.26,42.93,43.59
5,Treshold-3s,29.33,29.03,29.63
5,Treshold-4s,20.39,20.1,20.68
2,Treshold-2s,14.02,13.74,14.29
2,Treshold-3s,6.01,5.81,6.2
2,Treshold-4s,2.72,2.63,2.82
9,Treshold-2s,95.75,95.63,95.87
9,Treshold-3s,92.99,92.76,93.22
9,Treshold-4s,90.35,90.08,90.62
8,Treshold-2s,88.1,87.69,88.5
8,Treshold-3s,82.34,81.82,82.87
8,Treshold-4s,77.21,76.56,77.86
