exitProb,Name,Mean
5,TotalServiceTimeU2,3520.454
5,TotalServiceTime,15737.719
5,TotalServiceTimeU1,12217.265
2,TotalServiceTimeU2,1642.892
2,TotalServiceTime,7949.504
2,TotalServiceTimeU1,6306.612
9,TotalServiceTimeU2,0.0
9,TotalServiceTime,17744.555
9,TotalServiceTimeU1,17744.555
8,TotalServiceTimeU2,0.243
8,TotalServiceTime,32165.962
8,TotalServiceTimeU1,32165.719
